stem,source_sha256,field,was,should_be,read,why,status,decided_by,decided_on
Monterey2025,ca35b1d9dcb373d14b2df4defbe3041ab6aab2c8e6d5065270bfa36d98fd84f9,"elections[Tree Warden].candidates[].name_original == ""Hilary Moorman""",Hilary Moorman,Hillel Maximon,"Page 1 (the only page) of Monterey2025_d0.pdf at 160dpi, with the Board of Health, Cemetery Committee, Parks Commission and Tree Warden boxes enlarged three times. A hand-annotated ballot headed, in the clerk hand, ""May 6, 2025   Annual town Election"" over the printed instructions ""To vote for a person, mark an (X) in the square to the right of their name / Use the open boxes under the position for write in candidates, be sure to Check the box!"". Every figure is written in by hand in the right-hand column. The boxes read: ""Board of Assessors 3 Year Term vote for 1 / Scott Steibel, 25 Swann Road 166""; ""Board of Health 3 Year Term vote for 1 / Thomas Mensi, 18 Sylvan Road 169""; ""Bylaw Review Committee (2) vote for 2 / Stuart Litvin, 39 Wellman Road 166 / [write-in] Danielle Joffee 16""; ""Cemetery Committee vote for 1 / Michael Banner, 19 Griswold Road 175""; ""Constable vote for 1 / Julio Rodriguez, 10 Sylvan Road 171""; ""Finance Committee / Roger Tryon, 116 New Marlboro Road 166""; ""Library Trustees (2) vote for 2 / Carolee \""Mickey\"" Jervas 167 / Rebecca Wolin 158""; ""Moderator / Mark Makuc, 571 Main Road 176""; ""Parks Commission (2) 3 Year Term vote for 2 / Gerard Clarin, 37 Sylvan Road 157 / Steve Snyder, 121 Gould Road 170""; ""Planning Board (2) 5 Year Term vote for 2 / Laura Mensi, 18 Sylvan Road 168 / [write-in] Josh Webb 1""; ""Select Board / Susan Cooper, 20 Griswold Road 131""; ""Tax Collector / Anne Marie Enoch, 80 Corashire Road 172""; ""Tree Warden 1 Year Term vote for 1 / [write-in] Kevin West 115 / [write-in] Hillel Maximon 16""; ""Zoning Board of Appeals / Susan Cooper 107""; ""Question 1 ... YES 136 / NO 51"".","name_original is the transcription. The Tree Warden box has no printed candidate and two handwritten write-ins: ""Kevin West 115"" and, beneath it, ""Hillel Maximon 16"". The record holds the second as ""Hilary Moorman"" -- a different name, not a spelling variant -- while keeping its figure 16 exactly. Enlarged three times the writing is plain.",proposed,civicatlas-qa (unattended run),2026-09-06
Rowe2021,5a18ad296291266988d2101ba835f035be8b38161c57d83ec560761e0dc7320b,"elections[Finance Committee - 2 Years].candidates[].name_original == ""Wayne Zayotka""",Wayne Zayotka,Wayne Zavotka,"Page 1 (the only page) of Rowe2021_d0.pdf at 165dpi. Header: ""Town of Rowe, Massachusetts / Annual Town Election / OFFICIAL RESULTS / Saturday, May 15, 2021 / 83 Votes Cast / 317 Total Registered Voters / 26.2% Turnout"", with ""Warden: Ramon Luis Sanchez / Clerk: Loretta Dionne / Constable: Robert Beaumier / Tellers: Colleen Avallone, Margaret Rice"" and, at the foot, ""Certified: [signature] Ramon Luis Sanchez, Warden / Date: May 20, 2021"". The blocks read ""Board of Selectmen / Charles Sokol 70 / Pru Berry (WI) 1 / Blanks 12""; ""Cemetery Commission - 3 Years / Jay Williams 80 / Blanks 3""; ""Finance Committee - 2 Years / Laurie Pike (WI) 15 / Donna Butzke (WI) 3 / Ellen Miller (WI) 3 / Marilyn Wilson (WI) 2 / Dawn Valitsky-Beaumier (WI) 1 / Kevin Sprague (WI) 1 / Wayne Zavotka (WI) 1 / Alan Bjork (WI) 1 / Emma Poplawski (WI) 1 / Daniel Pallotta (WI) 1 / Lauren Werner (WI) 1 / Blanks 53""; ""Library Trustee / Catherine Snyder 61 / Lauren Werner 19 / Blanks 3""; ""Planning Board - 1 Year / Charles Sokol 68 / Daniel Wessman (WI) 1 / Blanks 14"".","name_original is the transcription. The sheet prints Zavotka with a v; the record holds Zayotka with a y. The same person is printed ""Wayne Zavotka 77"" on the 2024 Rowe return, which is what settles the letter rather than one scan of one line. The figure 1 is exact, and the other six ungrounded names in this record are printed exactly as recorded.",proposed,civicatlas-qa (unattended run),2026-09-06
Rowe2023,3b4109147e695143e52d8785bb9765226d2dd744eea2a021e14d9b04a965b958,"elections[School Committee].candidates[].name_original == ""Kahlteen Atwood""",Kahlteen Atwood,Kahtleen Atwood,"Page 1 (the only page) of Rowe2023_d0.pdf at 165dpi, the School Committee block enlarged three times. Header: ""Town of Rowe, Massachusetts / Annual Town Election / OFFICIAL RESULTS / Saturday, May 13, 2023 / 71 Votes Cast / 325 Total Registered Voters / 21.8% Turnout"", certified ""Paul McLatchy Jr., Warden"". The block reads ""School Committee - 3 Years / Susan Zavotka 45 / Kahtleen Atwood (WI) 3 / Kevin Balawick (WI) 2 / Ashley Boyd (WI) 2 / Andrew Kuehl (WI) 1 / Cynthia Laffond (WI) 1 / Ellen Miller (WI) 1 / Laurie Pike (WI) 1 / Blanks 15"". The same sheet prints ""Board of Health - 2 Years / Kathleen Atwood 65"", so the clerk own spelling of the write-in is a transposition and the record has transposed it differently.","name_original is the transcription and must agree with the document, misspellings included. The page prints K-a-h-t-l-e-e-n; the record holds K-a-h-l-t-e-e-n. The figure 3 is exact, and the block sums to the printed 71 turnout: 45 + 3 + 2 + 2 + 1 + 1 + 1 + 1 + 15 = 71.",proposed,civicatlas-qa (unattended run),2026-09-06
Windsor2024,7cd04919b2f137af00c8223e505e8c96aece21c9e5fd7e8192368099612db122,"elections[SELECT BOARD].candidates[].name_original == ""John Demme""",John Demme,John Denno,"Page 1 (the only page) of Windsor2024_d0.pdf at 165dpi. Header: ""ANNUAL TOWN ELECTION RESULTS - May 13, 2024 / 42 Voted Out of the 705 Registered Voters"". The block reads ""SELECT BOARD / For 3 Years / Charles Sturtevant (write in) 4 / Doug McNally (write in) 3 / John Denno (write in) 1 / Barb Connors (write in) 1 / Stephen Philbrick (write in) 1 / Mike Tirrell (write in) 1 / Dicken Crane (write in) 1 / John Garcia (write in) 1 / Susan Phillips (write in) 1 / Blank 28"".","name_original is the transcription. The sheet prints Denno; the record holds Demme. The figure 1 is exact, and the block sums to the printed turnout: 4 + 3 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 28 = 42, the ""42 Voted"" the header states. 21 of 22 names in this record ground, so this is one line, not a wrong document.",proposed,civicatlas-qa (unattended run),2026-09-06
Lakeville2025,8451e7b356b8e53e512d2f1837ae6a2527a7bb67f324afd2446a555015f19fc1,"elections[Select Board].candidates[].name_original == ""Evangelia Fabian""",Evangelia Fabian,Evagelia Fabian,"Page 1 (the only page) of Lakeville2025_d0.pdf at 165dpi. Header: ""OFFICIAL RESULTS / A True Attest Copy: [signature] / TOWN OF LAKEVILLE / GRAND TOTAL SHEET / April 7, 2025 / Annual Town Election / # Eligible Voters 9,800 / Total Votes Cast 905 / % of Voted 9.2%"", over ""PRECINCT 1 2 3 GRAND TOTAL OFFICES/CANDIDATES"" and ""TOTAL VOTES CAST 279 365 261  905"". The block reads ""SELECT BOARD (3yrs)  Vote for 2 / Evagelia Fabian 138 175 121  434 / Paul E. Hunt 143 200 151  494 / Christopher Plonka 171 242 163  576 / Write-Ins/ All others 1 0 1  2 / Blanks 105 113 86  304 / TOTAL 558 730 522  1,810"".","name_original is the transcription. The sheet prints Evagelia, without the n, and the record holds Evangelia. The 2026 Lakeville sheet prints the same person the same way, ""Evagelia Fabian 441"", which is what settles the letter rather than one scan. The figure 434 is exact, its three precinct cells sum to it, and the block closes on the document own arithmetic: 434 + 494 + 576 + 2 + 304 = 1,810 = 905 x 2.",proposed,civicatlas-qa (unattended run),2026-09-06
Newbury2025,9466504d0698590d7fb0afc5e182109b17d91f42a5edce71c075265b9350ab45,"elections[SELECTMEN (3 YR.)].candidates[].name_original == ""Patrick M. Hefferman""",Patrick M. Hefferman,PATRICK M. HEFFERNAN,"Page 1 of Newbury2025_d0.pdf at 165dpi. Header: ""TOWN OF NEWBURY OFFICIAL RESULTS / ANNUAL TOWN ELECTION MAY 13, 2025"", over ""* = INCUMBENT | Pct. 1 | Pct. 2 | TOTAL"". The block reads ""SELECTMEN (3 YR.) (Vote for 1) / DANA J. PACKER * 324 315  639 / PATRICK M. HEFFERNAN 392 460  852 / BLANKS 15 14  29 / WRITE-INS 2 1  3"".","name_original is the transcription. The sheet prints HEFFERNAN, with an n before the a; the record holds Hefferman, with an m. The figure 852 is exact and its two precinct cells sum to it, and the contest closes on the sheet own columns: 639 + 852 + 29 + 3 = 1,523, which is 731 + 792, the two precinct column totals. 11 of 12 names in this record ground, so this is one line, not a wrong document.",proposed,civicatlas-qa (unattended run),2026-09-06
Deerfield2024,573d52a8ec913a8d28798b8af7b451905538f0eacdd51a4663e6eac056f03fa3,"elections[CONSTABLE].candidates[].name_original == ""Raymond Burnske JR.""",Raymond Burnske JR.,Raymond Burniske JR.,"Page 1 of Deerfield2024_d0.pdf at 165dpi, headed ""TOWN ELECTION - MAY 6, 2024"". The blocks read ""SELECTBOARD: VOTE FOR ONE - 3 YEAR TERM / Carolyn Shores Ness 857 / C. Blake Gilmore 898 ** / Write-In 2 / Blanks 10 / 1767""; ""ASSESSOR: VOTE FOR ONE - 3 YEAR TERM / Charles Shattuck II 1376 ** / Write-in 2 / Blank 389 / 1767""; ""CONSTABLE - VOTE FOR ONE - 3 YEAR TERM / Raymond Burniske JR. 1384 ** / Write-ins 7 / Blanks 376 / 1767"".","name_original is the transcription. The sheet prints Burniske with an i; the record holds Burnske. The figure 1384 is exact and the contest closes on the sheet own total: 1384 + 7 + 376 = 1767, which every contest on the page totals. 14 of 15 names in this record ground.",proposed,civicatlas-qa (unattended run),2026-09-06
Longmeadow2023,a021e1ce32e86757a8e1c0926e76d792b2383a028692885de9d36211e7c21877,"elections[Planning Board].candidates[].name_original == ""Sanjeev Reej Singh Ani""",Sanjeev Reej Singh Ani,SANJIV REEJHSINGHANI,"Page 2 of Longmeadow2023_d0.pdf at 165dpi, rendered and rotated so the table reads across. The document is the ""TOWN OF LONGMEADOW / ANNUAL TOWN ELECTION MINUTES / LONGMEADOW COMMUNITY HOUSE / June 13, 2023"" and page 2 is headed ""RESULTS OF THE JUNE 13, 2023 ANNUAL TOWN ELE[CTION]"" over precinct columns A to E and a totals column. The block reads ""PLANNING BOARD / ROBERT BRYANT MILLER 113 78 81 60 86  418 * / SANJIV REEJHSINGHANI 8 5 3 3 12  31 / (All Other Votes/Write ins) 29 27 25 26 14  121 / totals 150 110 109 89 112  570"", with a footnote ""* Denotes the person was elected"" and, above the block, ""(There were 50+ different write-in individuals for Planning Board who received under 10 votes each)"".","name_original is the transcription. The minutes print the surname as one word, SANJIV REEJHSINGHANI, and the record has split and respelled it as four words, ""Sanjeev Reej Singh Ani"". The figure 31 is exact -- its five precinct cells 8 + 5 + 3 + 3 + 12 sum to it -- and the block closes on the printed totals row, 418 + 31 + 121 = 570.",proposed,civicatlas-qa (unattended run),2026-09-06
Stoughton2024,2770597caf28b6781b0c36300f55213f122954955ad622b675ef0adae9fb5f52,"candidates[].name_original == ""Reginald Nunually""",Reginald Nunually,Reginald Nunnally,"Page 2 of Stoughton2024_d0.pdf, rendered at 120dpi. The block heads ""STOUGHTON HOUSING AUTHORITY 2 Year Term"" with columns ""Candidate | Pct 1 ... Pct 8 | Total"", ""Blanks 211 296 304 417 271 233 207 160 2099"", then a ""Write-Ins"" sub-heading. Its rows include, verbatim: ""Reginald Nunnally 1 ... 1"", ""Shannon Schjolin ... 1 ... 1"", ""Gerry Goulston ... 1 ... 1"". Block ""Total 215 297 306 426 276 238 211 160 2129"".","name_original is the transcription and the grounding checks match against it, so a spelling the document does not carry makes the name uncheckable. This is a printed, typed table on a clean scan -- not handwriting -- and the raw_ocr reading agrees with the rendered image character for character, which is what settles it: two independent readings of the pixels say one thing and the record says another. Every VOTE FIGURE in this record is exact; only spellings differ, so the parse read the numbers faithfully and mis-read the letters. 169 of 178 names already ground.",proposed,civicatlas-qa (unattended run),2026-09-06
Stoughton2024,2770597caf28b6781b0c36300f55213f122954955ad622b675ef0adae9fb5f52,"candidates[].name_original == ""Shannon Schlapin""",Shannon Schlapin,Shannon Schjolin,"Page 2 of Stoughton2024_d0.pdf, rendered at 120dpi. The block heads ""STOUGHTON HOUSING AUTHORITY 2 Year Term"" with columns ""Candidate | Pct 1 ... Pct 8 | Total"", ""Blanks 211 296 304 417 271 233 207 160 2099"", then a ""Write-Ins"" sub-heading. Its rows include, verbatim: ""Reginald Nunnally 1 ... 1"", ""Shannon Schjolin ... 1 ... 1"", ""Gerry Goulston ... 1 ... 1"". Block ""Total 215 297 306 426 276 238 211 160 2129"".","name_original is the transcription and the grounding checks match against it, so a spelling the document does not carry makes the name uncheckable. This is a printed, typed table on a clean scan -- not handwriting -- and the raw_ocr reading agrees with the rendered image character for character, which is what settles it: two independent readings of the pixels say one thing and the record says another. Every VOTE FIGURE in this record is exact; only spellings differ, so the parse read the numbers faithfully and mis-read the letters. 169 of 178 names already ground.",proposed,civicatlas-qa (unattended run),2026-09-06
Stoughton2024,2770597caf28b6781b0c36300f55213f122954955ad622b675ef0adae9fb5f52,"candidates[].name_original == ""Gerry Gouldskin""",Gerry Gouldskin,Gerry Goulston,"Page 2 of Stoughton2024_d0.pdf, rendered at 120dpi. The block heads ""STOUGHTON HOUSING AUTHORITY 2 Year Term"" with columns ""Candidate | Pct 1 ... Pct 8 | Total"", ""Blanks 211 296 304 417 271 233 207 160 2099"", then a ""Write-Ins"" sub-heading. Its rows include, verbatim: ""Reginald Nunnally 1 ... 1"", ""Shannon Schjolin ... 1 ... 1"", ""Gerry Goulston ... 1 ... 1"". Block ""Total 215 297 306 426 276 238 211 160 2129"".","name_original is the transcription and the grounding checks match against it, so a spelling the document does not carry makes the name uncheckable. This is a printed, typed table on a clean scan -- not handwriting -- and the raw_ocr reading agrees with the rendered image character for character, which is what settles it: two independent readings of the pixels say one thing and the record says another. Every VOTE FIGURE in this record is exact; only spellings differ, so the parse read the numbers faithfully and mis-read the letters. 169 of 178 names already ground.",proposed,civicatlas-qa (unattended run),2026-09-06
Stoughton2024,2770597caf28b6781b0c36300f55213f122954955ad622b675ef0adae9fb5f52,"candidates[].name_original == ""Frances Brutainiti""",Frances Brutainiti,Frances Bruttaniti,"Page 3 of Stoughton2024_d0.pdf, rendered at 120dpi. The block heads ""REDEVELOPMENT AUTHORITY ( 3 years)"", ""Blanks 212 294 302 420 270 233 208 160 2099"", ""Write-Ins 0"", and its rows include, verbatim: ""Frances Bruttaniti ... 1 ... 1"" and ""Reggie Nunnally ... 1 ... 1"". Block ""Total 215 297 306 426 276 238 211 160 2129"".","name_original is the transcription and the grounding checks match against it, so a spelling the document does not carry makes the name uncheckable. This is a printed, typed table on a clean scan -- not handwriting -- and the raw_ocr reading agrees with the rendered image character for character, which is what settles it: two independent readings of the pixels say one thing and the record says another. Every VOTE FIGURE in this record is exact; only spellings differ, so the parse read the numbers faithfully and mis-read the letters. 169 of 178 names already ground.",proposed,civicatlas-qa (unattended run),2026-09-06
Stoughton2024,2770597caf28b6781b0c36300f55213f122954955ad622b675ef0adae9fb5f52,"candidates[].name_original == ""Reggie Nunually""",Reggie Nunually,Reggie Nunnally,"Page 3 of Stoughton2024_d0.pdf, rendered at 120dpi. The block heads ""REDEVELOPMENT AUTHORITY ( 3 years)"", ""Blanks 212 294 302 420 270 233 208 160 2099"", ""Write-Ins 0"", and its rows include, verbatim: ""Frances Bruttaniti ... 1 ... 1"" and ""Reggie Nunnally ... 1 ... 1"". Block ""Total 215 297 306 426 276 238 211 160 2129"".","name_original is the transcription and the grounding checks match against it, so a spelling the document does not carry makes the name uncheckable. This is a printed, typed table on a clean scan -- not handwriting -- and the raw_ocr reading agrees with the rendered image character for character, which is what settles it: two independent readings of the pixels say one thing and the record says another. Every VOTE FIGURE in this record is exact; only spellings differ, so the parse read the numbers faithfully and mis-read the letters. 169 of 178 names already ground.",proposed,civicatlas-qa (unattended run),2026-09-06
Stoughton2024,2770597caf28b6781b0c36300f55213f122954955ad622b675ef0adae9fb5f52,"candidates[].name_original == ""Kelly Chaplain""",Kelly Chaplain,Kelly Chaplan,"Page 3 of Stoughton2024_d0.pdf, rendered at 120dpi. The block heads ""SCHOOL COMMITTEE ( 3 Years)"", ""Blanks 196 264 276 360 251 213 176 135 1871"", ""Write-Ins"", and its last rows are, verbatim: ""Kelly Chaplan 0 0 0 0 0 0 1 1 2"" and ""Damari Roman 0 0 0 0 0 0 1 1 2"". The block continues onto page 4, whose first rows are ""Byron Knight 0 1 ... 1"", ""Leah Abecassis 0 1 ... 1"", ""Total 215 297 306 426 276 238 211 160 2129"".","name_original is the transcription and the grounding checks match against it, so a spelling the document does not carry makes the name uncheckable. This is a printed, typed table on a clean scan -- not handwriting -- and the raw_ocr reading agrees with the rendered image character for character, which is what settles it: two independent readings of the pixels say one thing and the record says another. Every VOTE FIGURE in this record is exact; only spellings differ, so the parse read the numbers faithfully and mis-read the letters. 169 of 178 names already ground.",proposed,civicatlas-qa (unattended run),2026-09-06
